,name,state,amount,count,symbol
424,"PNC Bank, National Association",DC,252110012.0,1402,ZION
425,"PNC Bank, National Association",DE,208255335.0,1811,ZION
426,"PNC Bank, National Association",WI,179839328.0,1073,ZION
427,"PNC Bank, National Association",SC,93411770.0,478,ZION
428,"PNC Bank, National Association",NM,74411320.0,592,ZION
429,"PNC Bank, National Association",MN,41952558.0,53,ZION
430,"PNC Bank, National Association",TN,41133622.92,93,ZION
431,"PNC Bank, National Association",WV,34809202.0,141,ZION
432,"PNC Bank, National Association",CT,21910687.0,56,ZION
433,"PNC Bank, National Association",AK,18542140.0,9,ZION
434,"PNC Bank, National Association",LA,17700085.86,43,ZION
435,"PNC Bank, National Association",MA,17362014.0,41,ZION
436,"PNC Bank, National Association",OR,17288927.0,17,ZION
437,"PNC Bank, National Association",WA,13716383.0,27,ZION
438,"PNC Bank, National Association",OK,10122755.65,20,ZION
439,"PNC Bank, National Association",UT,9856517.85,19,ZION
440,"PNC Bank, National Association",NV,9789031.46,44,ZION
441,"PNC Bank, National Association",KS,7149987.42,18,ZION
442,"PNC Bank, National Association",MT,3805037.0,5,ZION
443,"PNC Bank, National Association",IA,3693642.0,20,ZION
444,"PNC Bank, National Association",WY,3685686.0,11,ZION
445,"PNC Bank, National Association",NE,3613591.0,5,ZION
446,"PNC Bank, National Association",MS,3214194.88,19,ZION
447,"PNC Bank, National Association",AR,1077324.58,7,ZION
448,"PNC Bank, National Association",HI,1021355.0,5,ZION
449,"PNC Bank, National Association",ND,862604.0,3,ZION
450,"PNC Bank, National Association",NH,390917.0,5,ZION
451,"PNC Bank, National Association",ME,272570.0,4,ZION
452,"PNC Bank, National Association",PR,184436.0,8,ZION
453,"PNC Bank, National Association",SD,175850.0,2,ZION
454,"PNC Bank, National Association",RI,95405.0,5,ZION
455,"PNC Bank, National Association",VT,90000.0,2,ZION
456,"PNC Bank, National Association",ID,25677.0,2,ZION
457,Truist Bank,FL,3337945147.01,30285,0
458,Truist Bank,NC,2882800562.48,22158,0
459,Truist Bank,GA,2264613710.18,15633,0
460,Truist Bank,VA,2244640188.3,15459,0
461,Truist Bank,MD,1438032283.23,8533,0
462,Truist Bank,PA,756270383.24,5475,0
